Stock: BB
For: STFC , 2020-12-08 is already in storage
For: STFC , 2020-12-09 is already in storage
For: STFC , 2020-12-10 is already in storage
For: STFC , 2020-12-11 is already in storage
For: STFC , 2020-12-14 is already in storage
For: STFC , 2020-12-15 is already in storage
For: STFC , 2020-12-16 is already in storage
For: STFC , 2020-12-17 is already in storage
For: STFC , 2020-12-18 is already in storage
For: STFC , 2020-12-21 is already in storage
For: STFC , 2020-12-22 is already in storage
For: STFC , 2020-12-23 is already in storage
For: STFC , 2020-12-24 is already in storage
For: STFC , 2020-12-28 is already in storage
For: STFC , 2020-12-29 is already in storage
For: STFC , 2020-12-30 is already in storage
For: STFC , 2020-12-31 is already in storage
For: STFC , 2021-01-04 is already in storage
For: STFC , 2021-01-05 is already in storage
For: STFC , 2021-01-06 is already in storage
For: STFC , 2021-01-07 is already in storage
For: STFC , 2021-01-08 is already in storage
For: STFC , 2021-01-11 is already in storage
For: STFC , 2021-01-12 is already in storage
For: STFC , 2021-01-13 is already in storage
For: STFC , 2021-01-14 is already in storage
For: STFC , 2021-01-15 is already in storage
For: STFC , 2021-01-19 is already in storage
For: STFC , 2021-01-20 is already in storage
For: STFC , 2021-01-21 is already in storage
For: STFC , 2021-01-22 is already in storage
For: STFC , 2021-01-25 is already in storage
For: STFC , 2021-01-26 is already in storage
For: STFC , 2021-01-27 is already in storage
For: STFC , 2021-01-28 is already in storage
For: STFC , 2021-01-29 is already in storage
For: STFC , 2021-02-01 is already in storage
For: STFC , 2021-02-02 is already in storage
For: STFC , 2021-02-03 is already in storage
